latitude_deg,longitude_deg,elevation_m,slope_deg,roughness_m,annual_illumination_pct,max_temp_k,min_temp_k,psr_flag,ice_prob,weh_wt_pct,radiation_msv_yr,shielding_factor,earth_vis_pct,suitability_score,zone_class
-89.86977662876195,0.05941788379063774,1256.3196186323453,4.518336203262781,0.8399766080533698,92.59105441987963,226.82640561493122,180.1432972869233,0,0.3517330669807324,1.2819203518220634,353.57236939951974,0.22963215344294335,87.87978538597152,91.3807549420719,Optimal Habitat Base
-89.87010630098924,-0.15486803372564603,1236.017677451951,4.446003521402632,0.8415881298957378,93.262907831532,209.90139021291824,181.4800670923782,0,0.34226944298159767,1.2988215965494643,366.81087937248486,0.19382170074195473,89.03176528237427,96.04894822422982,Optimal Habitat Base
-89.91689991725818,0.17456947196136152,1241.9706090775774,4.10993947900293,0.7463346272173547,91.7308809790004,204.90900833218822,178.76117826240719,0,0.38806908457776207,1.0603233650726447,342.05357850441004,0.24232446695175525,91.50340571175836,92.7664687174824,Optimal Habitat Base
-89.81336269874677,0.043245176484606074,1270.9748772698154,3.9624390505105516,0.8744529490621056,91.09797561513032,218.43982538723947,182.41188959653132,0,0.3382392461929155,1.0479293758314314,356.0541399380708,0.21363513930429381,87.46417743895286,96.66079073242322,Optimal Habitat Base
-89.78038366595872,-0.09191251891764626,1253.948821695339,4.080468121483236,0.914419968800049,92.23760217807819,224.63477856219995,185.90916278576466,0,0.3539046156451007,1.1813616659300203,367.15145851721604,0.23555776752389812,87.3082009834601,93.71368295417412,Optimal Habitat Base
-89.91948265867653,0.11592185572164415,1279.4689495313319,4.845518489727126,0.7645648353668877,91.71030978630931,217.99899108395218,179.0882716180552,0,0.3778963656313918,1.1954120989478199,365.5268613725825,0.20967403105511676,90.48283270148904,94.13586507371649,Optimal Habitat Base
-89.99186121502116,-0.10214684670067747,1252.4825946069304,4.776449346390448,0.7770206227031871,91.24621735665077,222.4483487939742,177.00289340163255,0,0.3354872278540343,1.2072114477876845,351.5074693100403,0.1843401419573994,87.69965992029186,95.72237952983696,Optimal Habitat Base
-89.86769984529354,0.13362337003593017,1275.1107202396852,3.9299437127006698,0.7627291775444554,90.44807836025662,219.2396918974084,176.88364942004998,0,0.34476418900461353,1.1127803008777477,361.2752434462816,0.20103872743281326,87.00485616675397,95.58034367878668,Optimal Habitat Base
-89.8638850014688,-0.022512238185449354,1267.3797631050606,4.439036281919508,0.8949569395061759,92.59938920192891,228.53601542390732,180.30964585711484,0,0.3919887852832582,1.342076638150589,353.8590900815189,0.20622919237443482,87.97464834362931,95.42268624614398,Optimal Habitat Base
-89.95748535040643,-0.045373086565623943,1273.9446067456258,4.400050189633627,0.6823680494903217,89.50102940327045,230.79443189853683,185.8978370396586,0,0.33251218355826817,1.0511567830171562,345.0039434998306,0.23018322085683415,92.95385671391382,97.66988626534064,Optimal Habitat Base
